Broken_image,ID,Make,Supername,Year,Model,Status,Real,Type,Class,Perf. Class,Max Rank,Stars,Unlock,Star Value,Category,Brand,Series,Country,Reserve List,Desc. Source,Description,Broken_Image,,_1,_2,_3,_4,_5,_6,_7,_8
FALSE,1831,Alfa Romeo,,2021,Giulia GTAm,,,Road,A,,,,,,Super Saloons,DCT,1/64,Italy,Yes,Top Gear,"The 2021 Alfa Romeo Giulia GTAm is the hardest core version of the Giulia. Only 500 of this and it's sister car, the Giulia GTA, will be made.",,,,,,,,,,
FALSE,1832,Alfa Romeo,,2021,Giulia GTAm,,,Road,A,,,,,,Super Saloons,DCT,1/64,Italy,Yes,Top Gear,"The 2021 Alfa Romeo Giulia GTAm is the hardest core version of the Giulia. Only 500 of this and it's sister car, the Giulia GTA, will be made.",,,,,,,,,,
FALSE,1833,Alfa Romeo,,2021,Giulia GTAm,,,Road,A,,,,,,Super Saloons,DCT,1/64,Italy,Yes,Top Gear,"The 2021 Alfa Romeo Giulia GTAm is the hardest core version of the Giulia. Only 500 of this and it's sister car, the Giulia GTA, will be made.",,,,,,,,,,
FALSE,1834,Alfa Romeo,,2021,Giulia GTAm,,,Road,A,,,,,,Super Saloons,DCT,1/64,Italy,Yes,Top Gear,"The 2021 Alfa Romeo Giulia GTAm is the hardest core version of the Giulia. Only 500 of this and it's sister car, the Giulia GTA, will be made.",,,,,,,,,,
FALSE,2276,Alfa Romeo,,2021,Giulia GTAm,,,Road,,,,,,,,DCT,1/64,,Yes,Top Gear,"The 2021 Alfa Romeo Giulia GTAm is the hardest core version of the Giulia. Only 500 of this and it's sister car, the Giulia GTA, will be made.",,,,,,,,,,
FALSE,1921,Alfa Romeo,,1965,Giulia Sprint GTA,,,Road,,,,,,,Retro Sports Cars,Matchbox,2021 MBX City Drivers 5-Pack,,,,,,,,,,,,,,
FALSE,2294,Alfa Romeo,,1965,Giulia Sprint GTA,,,Road,,,,,,,,Matchbox,2024 Autobahn Express V 5-Pack,,Yes,,,,,,,,,,,,
FALSE,1264,Alfa Romeo,,1965,Giulia Sprint GTA Corsa,,,Race,R1,,,,,,Retro Touring Cars,Hot Wheels,Car Culture: Door Slammers,Italy,Yes,,,,,,,,,,,,
FALSE,2129,Alfa Romeo,,1965,Giulia Sprint GTA Corsa,,,,,,,,,,,Hot Wheels,2023 Fast & Furious Premium,,,,,,,,,,,,,,
FALSE,1795,Alfa Romeo,,1963,Giulia TI,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 1,Italy,,,,,,,,,,,,,
FALSE,3004,Alfa Romeo,,1963,Giulia TI Super,,,,,,,,,,,Hot Wheels,2025 Compact Kings,,,,,,,,,,,,,,
FALSE,1346,Alfa Romeo,,2010,Giulietta,,,Road,,,,,,,Hot Hatch,Majorette,Premium Cars,Italy,,,,,,,,,,,,,
FALSE,3557,Alfa Romeo,,2010,Giulietta,,,,,,,,,,,Norev,,,,,,,,,,,,,,,
FALSE,1793,Alfa Romeo,,1954,Giulietta Sprint,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 2,Italy,,,,,,,,,,,,,
FALSE,2470,Alfa Romeo,,1950,Gran Premio Tipo 159- Alfetta,,,,,,,,,,Apex Open-Wheel,Kyosho,Alfa Romeo Minicar Collection 2,,,,,,,,,,,,,,
FALSE,1797,Alfa Romeo,,2003,GT,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 1,Italy,,,,,,,,,,,,,
FALSE,2582,Alfa Romeo,,2003,GT,,,,,,,,,,Modern Sports Cars,Welly,1/60,,,,,,,,,,,,,,
FALSE,3613,Alfa Romeo,,2003,GT,,,,,,,,,,Modern Sports Cars,Welly,,,,,,,,,,,,,,,
FALSE,3614,Alfa Romeo,,2003,GT,,,,,,,,,,Modern Sports Cars,Welly,,,,,,,,,,,,,,,
FALSE,3102,Alfa Romeo,,,GT 1300 Junior,,,,,,,,,,,Tomica,Limited Vintage,,,,,,,,,,,,,,
FALSE,3140,Alfa Romeo,,1995,GTV,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection,,,,,,,,,,,,,,
FALSE,1109,Alfa Romeo,,1995,GTV,,,Road,,,,,,,Retro Sports Cars,Kyosho,Alfa Romeo Collection,Italy,Yes,,,,,,,,,,,,
FALSE,2450,Alfa Romeo,,1984,GTV6 3.0,,,,,,,,,,Retro Sports Cars,Hot Wheels,2024 Premium Car Culture World Tour,,,,,,,,,,,,,,
FALSE,1511,Alfa Romeo,,1984,GTV6 3.0,,,Race,R1,,,,,,Retro Touring Cars,Hot Wheels,2023 Retro Racers (Red),Italy,,,,,,,,,,,,,
FALSE,1512,Alfa Romeo,,1984,GTV6 3.0,,,Race,R1,,,,,,Retro Touring Cars,Hot Wheels,2023 Retro Racers (White),Italy,,,,,,,,,,,,,
FALSE,2134,Alfa Romeo,,1984,GTV6 3.0,,,,,,,,,,,Hot Wheels,2023 Retro Racers,,,,,,,,,,,,,,
FALSE,1807,Alfa Romeo,,1970,Montreal,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 3,Italy,,,,,,,,,,,,,
FALSE,14,Alfa Romeo,,1955,Prototipo B.A.T. 9,Rare,Real,Road,C,#REF!,1950,?????,Manufacturer,5,Retro Concepts,Hot Wheels,2005 First Editions: Realistix,Italy,No,Wikipedia,The Alfa Romeo Berlina Aerodinamica Tecnica are a series of Italian concept cars. The B.A.T. 9 was made to look more like the then-current Alfa Romeo models.,,,,,,,,,,
